Datatype: kernel_timings_GPU_n46
NC 	MAXOCCUPANCY 	BIRTH 	INFECTIONS 	NEWINFECTIONS 	PHAGEDECAY 	MOVEMENT 	SWAPZERO 	UPDATEOCCUPANCY 	NUTRIENTDIFFUSION 	SWAPZERO2
16	4	31	140	24	16	709	2	46	29	1
22	4	31	141	23	16	694	1	44	28	1
16	4	34	141	24	16	713	2	46	28	1
15	4	31	146	24	16	693	1	45	28	1
17	4	31	137	24	16	693	1	45	28	1
20	4	32	145	23	17	704	1	45	29	1
16	4	31	144	24	16	698	1	43	28	1
16	4	31	138	23	16	694	1	44	29	1
16	4	31	144	24	15	699	1	45	28	1
16	4	31	143	23	16	691	2	44	29	1
17	4	31	145	24	16	696	1	43	28	1
16	4	31	140	23	16	696	1	45	28	1
16	4	31	136	24	16	699	1	45	28	1
16	4	33	139	23	16	697	1	45	28	1
16	4	31	140	24	16	697	1	44	32	1
17	4	31	138	24	16	695	1	45	28	1
16	4	31	138	24	15	697	1	45	28	1
16	4	31	139	23	18	694	1	45	28	1
16	4	33	140	24	16	698	2	45	27	1
16	4	31	136	23	16	694	1	45	29	1
17	4	31	147	24	16	693	1	45	28	1
21	5	31	141	24	16	697	2	45	28	1
17	4	31	139	25	16	697	1	45	27	1
15	4	31	144	23	16	707	1	45	28	1
16	4	31	140	24	15	698	1	45	29	1
17	4	31	138	23	16	697	1	45	29	1
16	4	33	140	24	16	705	1	44	28	1
17	4	33	138	23	16	696	1	47	29	1
17	5	30	137	23	15	694	1	45	28	1
16	4	31	147	24	16	699	1	45	29	1
16	4	31	145	24	16	701	1	45	29	1
16	4	31	140	23	16	721	2	45	27	1
16	5	43	140	24	16	695	2	45	33	1
16	4	31	142	24	16	693	1	45	29	1
16	4	31	138	24	16	692	1	45	28	1
17	4	31	138	23	16	699	1	44	28	1
16	4	31	136	24	16	699	1	45	28	1
16	4	30	140	24	15	694	1	45	29	1
17	4	31	143	24	16	706	1	45	28	1
16	4	31	142	24	16	696	1	45	28	1
17	4	31	138	24	16	699	1	45	27	1
16	4	34	139	23	16	721	1	45	28	1
17	4	30	144	24	15	707	2	45	28	1
17	4	42	147	24	16	705	1	45	29	1
16	4	31	142	25	16	694	1	44	28	1
16	5	31	135	22	15	676	1	44	27	1
15	4	29	135	22	15	676	1	46	27	1
15	4	31	135	22	15	691	1	45	29	1
16	4	31	144	24	15	693	1	45	29	1
16	5	33	144	23	16	694	1	45	28	1
16	4	31	146	24	16	723	1	44	28	1
17	4	31	138	23	16	698	1	45	29	1
15	5	31	140	23	16	698	1	45	28	1
16	5	31	140	23	16	696	2	46	30	1
17	4	31	144	24	16	696	1	45	29	1
16	4	31	142	23	16	696	1	45	29	1
15	4	31	143	24	16	701	1	45	28	1
16	4	31	141	23	16	696	1	44	28	1
17	4	33	141	24	16	694	1	45	29	1
17	4	31	140	24	16	699	1	45	27	1
16	4	31	137	24	16	692	1	45	28	1
16	4	33	143	23	16	709	1	45	28	1
17	4	33	139	24	16	694	1	45	29	1
16	4	31	138	23	16	689	2	44	28	1
16	4	31	140	25	16	695	1	45	28	1
16	4	31	138	23	16	698	1	45	31	1
17	4	34	138	24	16	696	1	45	28	1
16	4	31	140	23	16	699	1	44	28	1
16	4	31	143	23	16	698	2	46	28	1
16	4	31	139	24	15	693	1	45	29	1
16	5	33	147	24	16	708	1	45	28	1
21	5	31	152	25	16	711	2	45	29	1
16	4	34	145	23	15	697	1	45	28	1
16	4	31	139	23	16	694	1	45	28	1
16	4	31	146	24	16	695	1	43	28	1
16	4	34	135	23	16	707	2	46	29	1
15	5	30	149	23	16	706	1	45	28	1
16	5	31	142	24	16	696	1	45	28	1
16	4	31	140	24	16	693	1	45	28	1
16	4	31	141	23	16	693	1	56	28	1
17	4	33	148	24	16	699	1	44	28	1
16	4	30	147	23	15	693	1	46	28	1
16	4	32	145	24	20	695	1	45	28	1
16	4	31	138	23	16	696	1	44	28	1
16	4	31	138	24	16	702	1	45	28	1
16	4	30	140	23	15	694	1	45	28	1
16	4	31	138	23	16	696	1	45	28	1
17	4	31	136	23	16	697	1	44	29	1
16	4	31	139	24	16	697	1	45	28	1
16	4	31	139	24	15	700	2	46	27	1
16	5	31	141	24	16	691	1	45	28	1
16	4	31	141	23	16	718	2	49	29	1
17	4	31	143	24	16	693	1	44	28	1
16	4	33	138	23	16	691	1	45	29	1
15	5	30	135	23	15	674	1	43	27	1
15	4	31	137	22	15	673	1	44	27	1
15	4	30	134	24	16	695	1	44	29	1
17	4	31	136	24	17	699	1	45	28	1
16	4	31	136	24	15	701	1	45	28	1
16	4	31	151	25	16	709	1	45	29	1
16	4	31	141	24	16	697	1	45	28	1
16	4	31	139	23	16	704	1	45	29	2
20	5	33	138	24	16	713	1	45	29	1
16	4	31	139	23	16	697	1	45	28	1
16	4	31	141	24	16	695	1	45	28	1
18	4	31	137	23	20	698	1	45	27	1
17	4	31	141	24	16	697	1	45	28	1
16	4	31	138	23	16	702	1	45	29	1
16	4	31	138	24	16	696	1	46	28	1
16	4	33	142	24	16	697	1	45	29	5
17	4	31	138	27	17	698	1	45	29	1
16	4	32	141	23	15	700	2	45	28	1
16	4	34	140	24	16	694	1	45	28	1
16	4	31	144	23	16	695	1	44	29	1
17	4	31	138	23	16	699	1	45	28	1
17	4	31	145	27	16	699	1	45	29	1
16	4	31	140	24	16	696	1	45	29	1
16	5	31	138	23	16	700	1	45	28	1
16	4	31	139	24	16	696	2	45	28	1
16	4	41	138	24	27	696	1	45	29	1
17	4	31	145	24	16	692	1	45	28	1
21	5	31	144	24	16	694	2	45	29	1
17	4	31	140	24	16	696	2	45	28	1
16	4	31	144	23	16	700	1	45	28	1
16	4	31	138	23	16	696	1	45	27	1
16	4	31	141	24	16	695	1	45	29	1
17	4	31	139	24	16	697	1	44	28	1
